baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,y
1706.619722,-1.758653971,0.204939596,-8.581328376,9.38E-18,1.27E-16,1
262.7798429,1.104679493,0.205057884,5.387159343,7.16E-08,3.09E-07,1
2881.943486,1.212687228,0.392819462,3.087136319,0.002020949,0.004306827,1
228.1823609,3.7840034,0.949152586,3.986717684,6.70E-05,0.000185795,1
6866.074347,2.430582397,0.491264508,4.947604307,7.51E-07,2.82E-06,1
1895.491124,0.915327138,0.294237709,3.110842388,0.001865545,0.004001414,1
797.6767177,1.485588214,0.654230887,2.270739954,0.023162725,0.039581194,1
8.968871064,-2.714750589,0.736251031,-3.687262189,0.00022668,0.000574118,1
4258.208558,1.695897273,0.273750637,6.195044106,5.83E-10,3.29E-09,1
1641.120362,1.502856485,0.259870026,5.783108234,7.33E-09,3.61E-08,1
1856.539406,-1.607525937,0.542990171,-2.960506512,0.003071336,0.006316269,1
0.471497156,-3.060305079,1.48862441,-2.055793965,0.03980238,0.064181529,1
771.6343558,2.298456857,0.153891591,14.93555851,1.93E-50,1.97E-48,1
2905.079713,0.863721904,0.236947863,3.645198113,0.000267186,0.000667231,1
546.5018558,2.25221056,0.524323341,4.295461186,1.74E-05,5.30E-05,1
5.091657105,3.633883816,1.240361993,2.929696199,0.003392935,0.006915561,1
935.4375237,2.002694476,0.324105167,6.179150098,6.44E-10,3.61E-09,1
543.2362675,5.109146912,1.111745612,4.595607897,4.31E-06,1.44E-05,1
320.9473593,4.976165939,0.744541372,6.683531806,2.33E-11,1.57E-10,1
0.988358814,2.701930889,1.326535535,2.03683265,0.041666815,0.06682524,1
650.3191349,4.428983799,0.951436291,4.65505031,3.24E-06,1.10E-05,1
242.462126,3.584646536,0.767810362,4.66866132,3.03E-06,1.04E-05,1
29.39391412,7.698344128,1.317828578,5.841688561,5.17E-09,2.59E-08,1
49.14217301,3.592433355,0.680265188,5.280930759,1.29E-07,5.36E-07,1
1096.77366,1.053089931,0.206064871,5.110477714,3.21E-07,1.27E-06,1
711.8147406,3.425490592,0.705253762,4.85710361,1.19E-06,4.34E-06,1
790.417317,-2.269827163,0.355945691,-6.376891809,1.81E-10,1.08E-09,1
5.64951517,4.590286288,0.845130728,5.431451176,5.59E-08,2.45E-07,1
12.60083598,-5.133917082,0.568172733,-9.035838542,1.63E-19,2.53E-18,1
121.2279846,-3.690843949,0.869102259,-4.246731512,2.17E-05,6.50E-05,1
948.5164554,2.231950802,0.231799257,9.628809134,6.04E-22,1.15E-20,1
66.21420214,-2.587069096,0.380020349,-6.80771201,9.92E-12,6.99E-11,1
5110.011008,3.819300319,0.421265271,9.066259622,1.23E-19,1.94E-18,1
0.649960824,-3.354999918,1.162417018,-2.886227461,0.003898903,0.007860093,1
2.082038739,4.013837849,1.074756272,3.734649385,0.000187977,0.000483177,1
863.9876119,1.376206333,0.267757976,5.139739822,2.75E-07,1.10E-06,1
8584.097726,1.579325484,0.53808927,2.935062215,0.003334808,0.006809484,1
11.67535226,-6.473217515,0.486125764,-13.31593178,1.87E-40,1.17E-38,1
142.7168899,4.62400372,0.846055559,5.465366512,4.62E-08,2.05E-07,1
508.3725325,-1.425321907,0.423291551,-3.367234484,0.000759261,0.001752044,1
5.421488062,-5.042623352,0.825598954,-6.107836411,1.01E-09,5.52E-09,1
11.82627816,-4.857693218,1.022237435,-4.75202047,2.01E-06,7.09E-06,1
2.588351935,4.253051585,1.433174308,2.967574539,0.003001595,0.006186681,1
11.98277089,2.097421369,0.88570627,2.368077815,0.017880775,0.031318191,1
6199.338124,2.370743524,0.259365285,9.140558348,6.21E-20,1.00E-18,1
1080.801362,1.046231944,0.139817969,7.482814623,7.27E-14,6.59E-13,1
7974.597328,3.729764984,0.377904585,9.869594411,5.64E-23,1.16E-21,1
411.9108429,-1.406128755,0.503795314,-2.791071521,0.005253386,0.010317814,1
3664.957962,1.169357839,0.275799753,4.23987993,2.24E-05,6.68E-05,1
1125.284334,2.543669624,0.304527318,8.352845458,6.66E-17,8.31E-16,1
3113.670965,0.933465869,0.145952547,6.395680567,1.60E-10,9.66E-10,1
998.5355085,1.811298371,0.267413158,6.773407807,1.26E-11,8.76E-11,1
1661.341415,-3.165334212,0.701071877,-4.51499242,6.33E-06,2.07E-05,1
36.62237401,1.739769114,0.817563094,2.127993701,0.033337606,0.054768198,1
6400.374474,-3.671612547,0.316033195,-11.61780662,3.35E-31,1.25E-29,1
9.526355923,-2.406794573,0.640456139,-3.757938174,0.000171319,0.000443016,1
2185.987094,1.56911422,0.177268781,8.851610575,8.63E-19,1.27E-17,1
583.1192441,3.422782099,0.21721339,15.75769388,6.08E-56,8.08E-54,1
34.85558428,-9.231573557,0.50883139,-18.14269666,1.47E-73,3.90E-71,1
163.7085701,3.754675178,0.667519813,5.62481458,1.86E-08,8.68E-08,1
224.7942209,3.557289232,0.350899647,10.13762558,3.76E-24,8.51E-23,1
3490.693161,-1.607503821,0.175981701,-9.134494182,6.57E-20,1.06E-18,1
1235.713022,1.605354611,0.210860355,7.613354393,2.67E-14,2.55E-13,1
47.44150173,-2.309399309,0.532495434,-4.336937301,1.44E-05,4.46E-05,1
13.65524853,6.578696373,1.045292894,6.293639241,3.10E-10,1.81E-09,1
920.5260384,-2.94220393,0.553864885,-5.312132996,1.08E-07,4.56E-07,1
3116.501109,3.622951764,0.319945212,11.32366302,1.00E-29,3.39E-28,1
330.356728,2.853785232,0.351179547,8.126285425,4.43E-16,5.10E-15,1
673.4871621,5.32383404,0.561557655,9.480476299,2.53E-21,4.61E-20,1
3117.375758,-2.76961529,0.08396948,-32.98359452,1.40E-238,1.05E-234,1
150.7895508,10.06708091,1.158695378,8.688289521,3.68E-18,5.16E-17,1
553.1284879,2.978690793,0.280271354,10.6278817,2.21E-26,5.87E-25,1
1791.402014,2.185483537,0.399012001,5.477237608,4.32E-08,1.92E-07,1
1667.660246,0.83857442,0.435682503,1.924737427,0.054262216,0.084424051,1
2325.698136,-1.518113474,0.307518687,-4.93665438,7.95E-07,2.97E-06,1
253.1403508,2.009756564,0.243145355,8.265658891,1.39E-16,1.69E-15,1
300.4228174,1.579214224,0.201122262,7.85201106,4.09E-15,4.26E-14,1
4.75637475,2.664528486,0.919961226,2.896348682,0.003775327,0.007630536,1
865.6145854,5.303827139,0.457339721,11.59712769,4.26E-31,1.57E-29,1
1263.470388,9.420776679,0.884007804,10.65689312,1.62E-26,4.33E-25,1
2813.587605,1.424043359,0.480700535,2.962433479,0.003052178,0.006280634,1
1649.279397,0.980847376,0.191207432,5.129755505,2.90E-07,1.15E-06,1
192.9240745,3.236105294,1.000885765,3.233241401,0.001223941,0.00271906,0
674.7867334,1.470151551,0.538877806,2.728172386,0.006368632,0.01228564,0
1106.364825,-3.06406568,0.380933512,-8.043570813,8.73E-16,9.80E-15,0
498.5069605,-6.679062362,0.573172805,-11.65279006,2.22E-31,8.36E-30,0
197.6221699,-11.18903603,0.44870838,-24.93609776,3.02E-137,6.00E-134,0
6.743443843,-1.894840458,0.58619561,-3.232437133,0.001227391,0.002726083,0
198.0869672,-2.83865831,0.626552446,-4.530599681,5.88E-06,1.93E-05,0
3112.821186,3.170016636,0.433920963,7.305516231,2.76E-13,2.34E-12,0
1217.806998,1.487655997,0.221570633,6.714138851,1.89E-11,1.29E-10,0
85.28391079,2.755209547,0.960061021,2.869827527,0.004106957,0.008240779,0
5528.885125,-2.788119283,0.242070208,-11.51781254,1.07E-30,3.86E-29,0
729.9619141,4.175153734,0.267122678,15.63009838,4.54E-55,5.77E-53,0
2.970022417,-3.830751092,0.895651338,-4.277056184,1.89E-05,5.72E-05,0
40.15843038,-8.968329143,0.756126406,-11.86088605,1.89E-32,7.60E-31,0
315.5807574,3.594948831,0.781448035,4.600368382,4.22E-06,1.41E-05,0
168.8533786,7.420799627,0.634646491,11.69280809,1.39E-31,5.29E-30,0
851.792829,2.824752957,0.456137513,6.192766161,5.91E-10,3.33E-09,0
184.7611154,-4.551368422,0.412246577,-11.04040319,2.44E-28,7.45E-27,0
26.68764165,-3.456878017,0.801946691,-4.310608244,1.63E-05,4.98E-05,0
71.22185039,1.76357859,0.271765375,6.489342468,8.62E-11,5.38E-10,0
774.459636,1.16211125,0.237351704,4.896157183,9.77E-07,3.61E-06,0
50.34640341,1.206452089,0.537086065,2.246291922,0.024685316,0.041924813,0
41.21551437,5.60167124,1.231488985,4.548697802,5.40E-06,1.78E-05,0
322.6985705,11.16341467,0.863302369,12.93105994,3.01E-38,1.69E-36,0
377.8341553,3.579924594,0.456121172,7.848626236,4.21E-15,4.37E-14,0
1285.034433,-2.35514163,0.823641387,-2.859426041,0.004244084,0.008488392,0
6176.817489,2.11297799,0.363487551,5.813068384,6.13E-09,3.05E-08,0
455.0560446,2.718464966,0.356023068,7.63564277,2.25E-14,2.17E-13,0
65.40232592,-2.767661467,0.317504122,-8.716930832,2.86E-18,4.05E-17,0
16.45824538,-2.895621245,0.460248722,-6.291427018,3.15E-10,1.83E-09,0
16.69344392,-4.317343041,1.214968162,-3.553461875,0.000380196,0.000925078,0
1392.86938,-1.953764579,0.21389882,-9.134059647,6.60E-20,1.06E-18,0
296.7900211,-3.296505968,0.178182022,-18.50077767,2.04E-76,6.29E-74,0
507.3288329,-3.507267266,0.42540073,-8.244619765,1.66E-16,2.00E-15,0
827.3503519,6.360391976,0.382568356,16.62550465,4.56E-62,7.78E-60,0
2056.373164,-5.871373084,0.777827611,-7.548424611,4.41E-14,4.10E-13,0
